source,layer_key,layer_label,category,country,record_id,name,latitude,longitude,geometry_type,subtitle,description,source_url,record_count,time_start_bp,time_end_bp,time_mean_bp,time_label,temporal_semantics_json,popup_rows_json,site_uuid
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:1184,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,4,100,100,100,100 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval"", ""summary_label"": ""AD (100 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 100, ""time_end_bp"": 100, ""time_mean_bp"": 100, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/1184"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [], ""source_record_count"": 4, ""source_record_ids"": [1184, 2141, 2955, 3023], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:1184"", ""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:2141"", ""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:2955"", ""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:3023""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""100 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""4""], [""Source record IDs"", ""1184, 2141, 2955, 3023""], [""Source chronology label"", ""AD""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:5100,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,100,100,100,100 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""AD (100 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 100, ""time_end_bp"": 100, ""time_mean_bp"": 100, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/5100"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [""from""], ""source_record_count"": 1, ""source_record_ids"": [5100], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:5100""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""100 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""5100""], [""Source chronology label"", ""AD""], [""Temporal uncertainty"", ""from""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:6209,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,192,192,192,192 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""AD (192 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 192, ""time_end_bp"": 192, ""time_mean_bp"": 192, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/6209"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [""from""], ""source_record_count"": 1, ""source_record_ids"": [6209], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:6209""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""192 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""6209""], [""Source chronology label"", ""AD""], [""Temporal uncertainty"", ""from""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:6351,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,193,193,193,193 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval"", ""summary_label"": ""AD (193 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 193, ""time_end_bp"": 193, ""time_mean_bp"": 193, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/6351"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [], ""source_record_count"": 1, ""source_record_ids"": [6351], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:6351""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""193 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""6351""], [""Source chronology label"", ""AD""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:2244,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,2,195,195,195,195 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""AD (195 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 195, ""time_end_bp"": 195, ""time_mean_bp"": 195, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/2244"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [""from""], ""source_record_count"": 2, ""source_record_ids"": [2244, 4039], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:2244"", ""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:4039""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""195 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""2""], [""Source record IDs"", ""2244, 4039""], [""Source chronology label"", ""AD""], [""Temporal uncertainty"", ""from""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:3246,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,2,196,196,196,196 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval"", ""summary_label"": ""AD (196 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 196, ""time_end_bp"": 196, ""time_mean_bp"": 196, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/3246"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [], ""source_record_count"": 2, ""source_record_ids"": [3246, 4229], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:3246"", ""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:4229""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""196 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""2""], [""Source record IDs"", ""3246, 4229""], [""Source chronology label"", ""AD""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:1401,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,198,198,198,198 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""AD (198 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 198, ""time_end_bp"": 198, ""time_mean_bp"": 198, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/1401"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [""from""], ""source_record_count"": 1, ""source_record_ids"": [1401], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:1401""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""198 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""1401""], [""Source chronology label"", ""AD""], [""Temporal uncertainty"", ""from""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:3272,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,199,199,199,199 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval"", ""summary_label"": ""AD (199 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 199, ""time_end_bp"": 199, ""time_mean_bp"": 199, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/3272"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [], ""source_record_count"": 1, ""source_record_ids"": [3272], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:3272""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""199 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""3272""], [""Source chronology label"", ""AD""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:4178,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,200,200,200,200 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""AD (200 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 200, ""time_end_bp"": 200, ""time_mean_bp"": 200, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/4178"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [""from""], ""source_record_count"": 1, ""source_record_ids"": [4178], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:4178""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""200 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""4178""], [""Source chronology label"", ""AD""], [""Temporal uncertainty"", ""from""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
SEAD,sead-temporal-evidence,SEAD temporal evidence,Environmental archaeology chronology,Sweden,3833:dating_range:4376,12051 Bro — Analysis dating range,57.669857,18.466139,Point,Linked SEAD chronology records,Time-filterable chronology linked to a SEAD environmental archaeology site.,https://browser.sead.se/site/3833,1,201,201,201,201 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""linked_record_interval"", ""comparability_posture"": ""numeric_interval"", ""summary_label"": ""AD (201 BP)"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 201, ""time_end_bp"": 201, ""time_mean_bp"": 201, ""duration_years"": 0, ""comparison_note"": ""This feature represents linked SEAD chronology at its source-record interval. Coincident records are grouped without widening their time span."", ""refusal_reason_code"": """", ""provenance_path"": """", ""provenance_locator"": ""site/3833/dating_range/4376"", ""provenance_excerpt"": """", ""original_labels"": [""AD""], ""normalized_labels"": [], ""uncertainty_notes"": [], ""source_record_count"": 1, ""source_record_ids"": [4376], ""chronology_claim_ids"": [""sead:d80ee0d3-1156-4535-8741-752d87565743:dating_range:4376""], ""claim_bundle_path"": ""data/sead/normalized/chronology_claims.json""}","[[""Site"", ""12051 Bro""], [""Site ID"", ""3833""], [""Site UUID"", ""d80ee0d3-1156-4535-8741-752d87565743""], [""Country assignment"", ""strict_boundary_containment""], [""Chronology kind"", ""Analysis dating range""], [""Date coverage"", ""201 BP""], [""Chronology eligibility"", ""Eligible numeric comparison""], [""Selection posture"", ""All source chronologies retained""], [""Grouped source records"", ""1""], [""Source record IDs"", ""4376""], [""Source chronology label"", ""AD""], [""Site-linked bibliography records"", ""54""]]",d80ee0d3-1156-4535-8741-752d87565743
