species_latin_name,species_common_name,direct_coordinate_backed,indirectly_geocoded,unresolved,refused_from_mapping,coordinate_provenance_mappable_count,publication_candidate_count,not_materialized_count
Equus caballus,horse,207,1,2,0,208,207,1
Sus scrofa domesticus,pig,0,2,0,0,2,2,0
Ovis aries,sheep,0,0,5,0,0,0,0
Bos taurus,cattle,0,0,132,1,0,0,0
Capra hircus,goat,27,0,0,0,27,26,1
Canis lupus familiaris,dog,0,0,1,1,0,0,0
Felis catus,cat,40,0,0,0,40,40,0
Camelus dromedarius,dromedary camel,0,1,0,0,1,0,1
Rangifer tarandus,reindeer,0,0,20,1,0,0,0
Equus asinus,donkey,0,0,0,1,0,0,0
